ลำดับ	นโยบาย	solution	
223	ตรวจสุขภาพประจำปี ฟรีทั้งค่าตรวจ-ค่าเดินทาง	ตรวจสุขภาพประจำปีทั้งสุขภาพกายและสุขภาพจิต พร้อมกับให้ค่าเดินทางสำหรับเดินทางมาตรวจสุขภาพ 	นโยบายที่ 223 ตรวจสุขภาพประจำปี ฟรีทั้งค่าตรวจ-ค่าเดินทาง solution ตรวจสุขภาพประจำปีทั้งสุขภาพกายและสุขภาพจิต พร้อมกับให้ค่าเดินทางสำหรับเดินทางมาตรวจสุขภาพ 
224	ตรวจสุขภาพประจำปี รวมคัดกรองมะเร็ง 6 ชนิดฟรี  สำหรับกลุ่มเสี่ยง	ที่ผ่านมา สิทธิในการคัดกรองมะเร็งหลายโรคอยู่ในสิทธิบัตรทองอยู่แล้ว แต่ยังติดที่ต้องมีอาการบ่งชี้ก่อน จึงจะให้แพทย์สั่งตรวจได้ ยกเว้นมะเร็งปากมดลูก ทำให้มีประชาชนกลุ่มเสียง เข้าไม่ถึง และตกหล่นจากการคัดกรองมะเร็ง บรรจุสิทธิคัดกรองมะเร็งที่พบบ่อย 6 ชนิดลงในสิทธิตรวจสุขภาพบัตรทองตามความเสี่ยง ไม่ต้องรอแพทย์สั่ง เพื่อให้เข้าถึงการรักษามะเร็งตั้งแต่ระยะเริ่มต้น และมีค่าเดินทางเพื่อจูงใจให้ทุกคนเข้ามาตรวจสุขภาพพัฒนาสิทธิการคัดกรองมะเร็ง 6 ชนิด ให้เข้าถึงง่ายและดีขึ้น ดังนี้มะเร็งเต้านม ปัจจุบันมีการตรวจ mammogram อยู่แล้ว แต่ต้องให้แพทย์เป็นผู้สั่งตรวจ การคัดกรองดังกล่าวจึงควรอยู่ในสิทธิการตรวจสุขภาพประจำปี ขึ้นกับความเสี่ยง ได้แก่ผู้หญิง 40 - 55 ปีที่ไม่มีอาการ ควรได้ตรวจ mammogram  ทุก 1 ปีผู้หญิงอายุ 55 ปีขึ้นไป ควรได้รับการตรวจ mammography ทุก 2 ปี กลุ่มเสี่ยงควรได้รับการตรวจทุกปี ไม่ว่าจะเป็นผุ้หญิงที่มีคนในครอบครัวที่เป็นมะเร็งเต้านม ผู้ที่เคยได้รับการฉายแสงบริเวณหน้าอกเพื่อรักษามะเร็งต่อมน้ำเหลือง ผู้มีประวัติการรับฮอร์โมนเสริมหลังหมดประจำเดือนติดต่อกันเกิน 5 ปี มะเร็งปากมดลูกปัจจุบันสิทธิในการตรวจ pap smear ในผู้หญิงอายุ 30 ปีขึ้นไป หรือเคยมีเพศสัมพันธ์ ครอบคลุมในสิทธิบัตรทองอยู่แล้ว ตามสิทธิเฝ้าระวังโรค แต่ผู้ที่ไม่ได้เข้าไปใช้สิทธิยังมีอีกมากการระบุสิทธิคัดกรองมะเร็งปากมดลูกในการตรวจสุขภาพประจำปี  และมีค่าเดินทางให้ จะช่วยจูงใจให้ทุกคนเข้าตรวจคัดกรองมากขึ้น มะเร็งลำไส้ใหญ่  ปัจจุบัน สิทธิในการคัดกรองมะเร็งลำไส้ใหญ่ตามบัตรทอง คือ การตรวจเลือดในอุจจาระ ซึ่งยังไม่แม่นยำ หากไม่ทำคู่กับการส่องกล้อง Colonoscopy ร่วมด้วยเพิ่มสิทธิในการตรวจส่องกล้องให้กับกลุ่มเสี่ยงมีญาติสายตรงเป็นมะเร็งลำไส้ใหญ่ โดยอายุเริ่มตรวจ นับจากอายุของผู้ที่เป็นมะเร็งในครอบครัว ลบ 10 ปี และตรวจทุก1 - 3 ปี มะเร็งต่อมลูกหมากปัจจุบัน การเจาะเลือดดูค่า PSA เพื่อคัดกรองมะเร็งต่อมลูกหมากต้องให้แพทย์สั่งตามข้อบ่งชี้ ไม่สามารถเริ่มตรวจเองได้เพิ่มสิทธิการตรวจเข้าไปในการตรวจสุขภาพประจำปี ที่ต้องมีการเจาะเลือดเพื่อตรวจสุขภาพอยู่แล้วมะเร็งตับการเจาะเลือดดูค่า AFP และการ ultra-sound ช่องท้องเป็นสิทธิบัตรทอง ปกติไม่จำเป็นต้องคัดกรองทุกคน ยกเว้นกลุ่มที่เป็นไวรัสตับอักเสบที่แพทย์จะต้องให้คัดกรองอยู่แล้วเพิ่มสิทธิในกลุ่มเสี่ยง เช่น ในภาคอีสานจะมีมะเร็งตับอีกชนิด คือ Cholangiocarcinoma  ที่เกิดจากพยาธิใบไม้ในตับที่มาจากปลาน้ำจืด ซึ่งกลุ่มเสี่ยงในพื้นที่ที่กินอาหารสุก ๆ ดิบ ๆ เป็นประจำ ควรจะต้องรับการคัดกรองมะเร็งส่วนนี้อย่างสม่ำเสมอมะเร็งปอดปัจจุบันตามสิทธิบัตรทองมีทำเอ็กซเรย์ปอดแต่ยังขาดความแม่นยำในการคัดกรอง ควรใช้วิธีการคัดกรองด้วย CT ที่แม่นยำกว่าเพิ่มสิทธิในการตรวจ CT ในกลุ่มเสี่ยงที่จะเป็นมะเร็งปอด ได้แก่ กลุ่มที่อายุ 55 ปี ขึ้นไปที่เป็นผู้สูบบุหรี่จัดในอัตรา 30 pack-year เป็นต้นไป รวมถึงกลุ่มเสี่ยงในภูมิภาคมีปัญหาเรื่องฝุ่น PM 2.5 และมลพิษ ซึ่งเป็นพื้นที่ที่พบอุบัติการณ์ของโรคมะเร็งปอดมากขึ้นอย่างมีนัยสำคัญ	นโยบายที่ 224 ตรวจสุขภาพประจำปี รวมคัดกรองมะเร็ง 6 ชนิดฟรี  สำหรับกลุ่มเสี่ยง solution ที่ผ่านมา สิทธิในการคัดกรองมะเร็งหลายโรคอยู่ในสิทธิบัตรทองอยู่แล้ว แต่ยังติดที่ต้องมีอาการบ่งชี้ก่อน จึงจะให้แพทย์สั่งตรวจได้ ยกเว้นมะเร็งปากมดลูก ทำให้มีประชาชนกลุ่มเสียง เข้าไม่ถึง และตกหล่นจากการคัดกรองมะเร็ง บรรจุสิทธิคัดกรองมะเร็งที่พบบ่อย 6 ชนิดลงในสิทธิตรวจสุขภาพบัตรทองตามความเสี่ยง ไม่ต้องรอแพทย์สั่ง เพื่อให้เข้าถึงการรักษามะเร็งตั้งแต่ระยะเริ่มต้น และมีค่าเดินทางเพื่อจูงใจให้ทุกคนเข้ามาตรวจสุขภาพพัฒนาสิทธิการคัดกรองมะเร็ง 6 ชนิด ให้เข้าถึงง่ายและดีขึ้น ดังนี้มะเร็งเต้านม ปัจจุบันมีการตรวจ mammogram อยู่แล้ว แต่ต้องให้แพทย์เป็นผู้สั่งตรวจ การคัดกรองดังกล่าวจึงควรอยู่ในสิทธิการตรวจสุขภาพประจำปี ขึ้นกับความเสี่ยง ได้แก่ผู้หญิง 40 - 55 ปีที่ไม่มีอาการ ควรได้ตรวจ mammogram  ทุก 1 ปีผู้หญิงอายุ 55 ปีขึ้นไป ควรได้รับการตรวจ mammography ทุก 2 ปี กลุ่มเสี่ยงควรได้รับการตรวจทุกปี ไม่ว่าจะเป็นผุ้หญิงที่มีคนในครอบครัวที่เป็นมะเร็งเต้านม ผู้ที่เคยได้รับการฉายแสงบริเวณหน้าอกเพื่อรักษามะเร็งต่อมน้ำเหลือง ผู้มีประวัติการรับฮอร์โมนเสริมหลังหมดประจำเดือนติดต่อกันเกิน 5 ปี มะเร็งปากมดลูกปัจจุบันสิทธิในการตรวจ pap smear ในผู้หญิงอายุ 30 ปีขึ้นไป หรือเคยมีเพศสัมพันธ์ ครอบคลุมในสิทธิบัตรทองอยู่แล้ว ตามสิทธิเฝ้าระวังโรค แต่ผู้ที่ไม่ได้เข้าไปใช้สิทธิยังมีอีกมากการระบุสิทธิคัดกรองมะเร็งปากมดลูกในการตรวจสุขภาพประจำปี  และมีค่าเดินทางให้ จะช่วยจูงใจให้ทุกคนเข้าตรวจคัดกรองมากขึ้น มะเร็งลำไส้ใหญ่  ปัจจุบัน สิทธิในการคัดกรองมะเร็งลำไส้ใหญ่ตามบัตรทอง คือ การตรวจเลือดในอุจจาระ ซึ่งยังไม่แม่นยำ หากไม่ทำคู่กับการส่องกล้อง Colonoscopy ร่วมด้วยเพิ่มสิทธิในการตรวจส่องกล้องให้กับกลุ่มเสี่ยงมีญาติสายตรงเป็นมะเร็งลำไส้ใหญ่ โดยอายุเริ่มตรวจ นับจากอายุของผู้ที่เป็นมะเร็งในครอบครัว ลบ 10 ปี และตรวจทุก1 - 3 ปี มะเร็งต่อมลูกหมากปัจจุบัน การเจาะเลือดดูค่า PSA เพื่อคัดกรองมะเร็งต่อมลูกหมากต้องให้แพทย์สั่งตามข้อบ่งชี้ ไม่สามารถเริ่มตรวจเองได้เพิ่มสิทธิการตรวจเข้าไปในการตรวจสุขภาพประจำปี ที่ต้องมีการเจาะเลือดเพื่อตรวจสุขภาพอยู่แล้วมะเร็งตับการเจาะเลือดดูค่า AFP และการ ultra-sound ช่องท้องเป็นสิทธิบัตรทอง ปกติไม่จำเป็นต้องคัดกรองทุกคน ยกเว้นกลุ่มที่เป็นไวรัสตับอักเสบที่แพทย์จะต้องให้คัดกรองอยู่แล้วเพิ่มสิทธิในกลุ่มเสี่ยง เช่น ในภาคอีสานจะมีมะเร็งตับอีกชนิด คือ Cholangiocarcinoma  ที่เกิดจากพยาธิใบไม้ในตับที่มาจากปลาน้ำจืด ซึ่งกลุ่มเสี่ยงในพื้นที่ที่กินอาหารสุก ๆ ดิบ ๆ เป็นประจำ ควรจะต้องรับการคัดกรองมะเร็งส่วนนี้อย่างสม่ำเสมอมะเร็งปอดปัจจุบันตามสิทธิบัตรทองมีทำเอ็กซเรย์ปอดแต่ยังขาดความแม่นยำในการคัดกรอง ควรใช้วิธีการคัดกรองด้วย CT ที่แม่นยำกว่าเพิ่มสิทธิในการตรวจ CT ในกลุ่มเสี่ยงที่จะเป็นมะเร็งปอด ได้แก่ กลุ่มที่อายุ 55 ปี ขึ้นไปที่เป็นผู้สูบบุหรี่จัดในอัตรา 30 pack-year เป็นต้นไป รวมถึงกลุ่มเสี่ยงในภูมิภาคมีปัญหาเรื่องฝุ่น PM 2.5 และมลพิษ ซึ่งเป็นพื้นที่ที่พบอุบัติการณ์ของโรคมะเร็งปอดมากขึ้นอย่างมีนัยสำคัญ
225	วัคซีนเพิ่มเติมฟรีในเด็กและผู้ใหญ่	วัคซีนเด็ก - เพิ่มวัคซีนหลายประเภทโรคไข้หวัดใหญ่โรคไข้เลือดออก เป็นโรคที่กลับมาระบาดสูงอีกครั้ง และพบมากที่สุดในเด็กช่วงอายุ 5-14 ปี  การฉีดวัคซีนไข้เลือดออกเดงกี่ ลดความรุนแรงของโรคได้กว่า 80 %โรคพิษสุนัขบ้า การฉีดวัคซีนตั้งแต่เด็กจะช่วยลดจำนวนวัคซีนที่ต้องฉีดกรณีที่พบว่าเสี่ยงได้รับโรคพิษสุนัขบ้าในภายหลัง ซึ่งวัคซีนที่ต้องฉีดหากไม่เคยได้รับวัคซีนพิษสุนัขบ้ามาก่อนมีราคาที่ค่อนข้างสูง โรคอีสุกอีใส โดยฉีดเป็นวัคซีน MMRV ที่รวมเข็มกับวัคซีน คางทูม หัด หัดเยอรมัน หรือ MMR ในวัคซีนจำเป็นเดิมวัคซีนผู้สูงอายุ - เพิ่มวัคซีนปอดอักเสบ โรคปอดอักเสบ และติดเชื้อในกระแสเลือด สำหรับผู้สูงวัย ฉีดเข็มเดียวแต่ป้องกันได้ตลอดชีวิต โดยอาการปอดบวมและติดเชื้อในกระแสเลือด ถือเป็นสาเหตุในการเสียชีวิตหลักของผู้สูงอายุ	นโยบายที่ 225 วัคซีนเพิ่มเติมฟรีในเด็กและผู้ใหญ่ solution วัคซีนเด็ก - เพิ่มวัคซีนหลายประเภทโรคไข้หวัดใหญ่โรคไข้เลือดออก เป็นโรคที่กลับมาระบาดสูงอีกครั้ง และพบมากที่สุดในเด็กช่วงอายุ 5-14 ปี  การฉีดวัคซีนไข้เลือดออกเดงกี่ ลดความรุนแรงของโรคได้กว่า 80 %โรคพิษสุนัขบ้า การฉีดวัคซีนตั้งแต่เด็กจะช่วยลดจำนวนวัคซีนที่ต้องฉีดกรณีที่พบว่าเสี่ยงได้รับโรคพิษสุนัขบ้าในภายหลัง ซึ่งวัคซีนที่ต้องฉีดหากไม่เคยได้รับวัคซีนพิษสุนัขบ้ามาก่อนมีราคาที่ค่อนข้างสูง โรคอีสุกอีใส โดยฉีดเป็นวัคซีน MMRV ที่รวมเข็มกับวัคซีน คางทูม หัด หัดเยอรมัน หรือ MMR ในวัคซีนจำเป็นเดิมวัคซีนผู้สูงอายุ - เพิ่มวัคซีนปอดอักเสบ โรคปอดอักเสบ และติดเชื้อในกระแสเลือด สำหรับผู้สูงวัย ฉีดเข็มเดียวแต่ป้องกันได้ตลอดชีวิต โดยอาการปอดบวมและติดเชื้อในกระแสเลือด ถือเป็นสาเหตุในการเสียชีวิตหลักของผู้สูงอายุ
226	แว่นตาฟรีถึง 18 ปี	ให้แว่นตาฟรี สำหรับเด็กที่มีอายุต่ำกว่า 18 ปี ที่มีปัญหาทางสายตา อยู่ในสิทธิหลักประกันสุขภาพถ้วนหน้า	นโยบายที่ 226 แว่นตาฟรีถึง 18 ปี solution ให้แว่นตาฟรี สำหรับเด็กที่มีอายุต่ำกว่า 18 ปี ที่มีปัญหาทางสายตา อยู่ในสิทธิหลักประกันสุขภาพถ้วนหน้า
227	สุขภาพดี มีรางวัล (Health Score)	เพิ่มระบบแรงจูงใจประจำปี – เป้าหมายสุขภาพรายบุคคลเป้าหมายสุขภาพรายบุคคล เป็นระบบคะแนนสุขภาพที่ขึ้นอยู่กับพฤติกรรมสุขภาพ เช่น การเลิกสูบบุหรี่ จำนวนก้าวในการเดินต่อวัน ผลการตรวจสุขภาพประจำปี เช่น เลือด น้ำหนัก BMIการเข้ารับการรักษาอย่างต่อเนื่องตามคำสั่งแพทย์การไม่มีภาวะเจ็บป่วยที่ต้องมาโรงพยาบาลได้รับคูปองอาหารอินทรีย์/สินค้าสุขภาพ 300 บาท/ปี หรือรางวัลอื่น ๆ ที่จูงใจประชาชนให้รักษาสุขภาพ 	นโยบายที่ 227 สุขภาพดี มีรางวัล (Health Score) solution เพิ่มระบบแรงจูงใจประจำปี – เป้าหมายสุขภาพรายบุคคลเป้าหมายสุขภาพรายบุคคล เป็นระบบคะแนนสุขภาพที่ขึ้นอยู่กับพฤติกรรมสุขภาพ เช่น การเลิกสูบบุหรี่ จำนวนก้าวในการเดินต่อวัน ผลการตรวจสุขภาพประจำปี เช่น เลือด น้ำหนัก BMIการเข้ารับการรักษาอย่างต่อเนื่องตามคำสั่งแพทย์การไม่มีภาวะเจ็บป่วยที่ต้องมาโรงพยาบาลได้รับคูปองอาหารอินทรีย์/สินค้าสุขภาพ 300 บาท/ปี หรือรางวัลอื่น ๆ ที่จูงใจประชาชนให้รักษาสุขภาพ 
228	ทบทวนสิทธิประโยชน์ของกองทุนหลักประกันสุขภาพ และกองทุนประกันสังคม	ทบทวนบัญชียาหลักในระบบและสิทธิประโยชน์ในกองทุนสุขภาพให้เท่าทันกับวิทยาการทางแพทย์	นโยบายที่ 228 ทบทวนสิทธิประโยชน์ของกองทุนหลักประกันสุขภาพ และกองทุนประกันสังคม solution ทบทวนบัญชียาหลักในระบบและสิทธิประโยชน์ในกองทุนสุขภาพให้เท่าทันกับวิทยาการทางแพทย์
229	ตรวจสุขภาพประจำปี ต้องมีตรวจสุขภาพจิตด้วย	กำหนดให้มีการตรวจสุขภาพจิตฟรี รวมเข้าไปในแพคเกจของการตรวจสุขภาพประจำปีตามสิทธิการรักษาพยาบาลของประชาชน	นโยบายที่ 229 ตรวจสุขภาพประจำปี ต้องมีตรวจสุขภาพจิตด้วย solution กำหนดให้มีการตรวจสุขภาพจิตฟรี รวมเข้าไปในแพคเกจของการตรวจสุขภาพประจำปีตามสิทธิการรักษาพยาบาลของประชาชน
230	ดูแลสุขภาพจิตครบวงจร เพิ่มบุคลากร-ขยายบัญชียา-ใช้เทคโนโลยี	เพิ่มบุคลากรด้านสุขภาพจิต (เช่น จิตแพทย์ นักจิตวิทยา)ทบทวนบัญชียาหลักในระบบให้เท่าทันกับวิทยาการทางแพทย์พัฒนาระบบบริการสุขภาพจิตรูปแบบใหม่ (เช่น การแพทย์ทางไกล (Telemedicine) แพลตฟอร์มสุขภาพจิต)	นโยบายที่ 230 ดูแลสุขภาพจิตครบวงจร เพิ่มบุคลากร-ขยายบัญชียา-ใช้เทคโนโลยี solution เพิ่มบุคลากรด้านสุขภาพจิต (เช่น จิตแพทย์ นักจิตวิทยา)ทบทวนบัญชียาหลักในระบบให้เท่าทันกับวิทยาการทางแพทย์พัฒนาระบบบริการสุขภาพจิตรูปแบบใหม่ (เช่น การแพทย์ทางไกล (Telemedicine) แพลตฟอร์มสุขภาพจิต)
231	คลินิกเยาวชน ปรึกษาได้ ไม่ต้องรายงานผู้ปกครอง-โรงเรียน	จัดตั้งคลินิกเยาวชน เพื่อเป็นพื้นที่ปลอดภัยในการดูแลปัญหาด้านสุขภาพจิตให้เยาวชนโดยไม่จำเป็นต้องรายงานกับผู้ปกครองหรือโรงเรียน (ที่บางครั้งเป็นสาเหตุของปัญหา) และทำหน้าที่คัดกรองเบื้องต้นก่อนส่งต่อ	นโยบายที่ 231 คลินิกเยาวชน ปรึกษาได้ ไม่ต้องรายงานผู้ปกครอง-โรงเรียน solution จัดตั้งคลินิกเยาวชน เพื่อเป็นพื้นที่ปลอดภัยในการดูแลปัญหาด้านสุขภาพจิตให้เยาวชนโดยไม่จำเป็นต้องรายงานกับผู้ปกครองหรือโรงเรียน (ที่บางครั้งเป็นสาเหตุของปัญหา) และทำหน้าที่คัดกรองเบื้องต้นก่อนส่งต่อ
232	สร้างสังคมที่เอื้อต่อการมีสุขภาพจิตที่ดี	ลดปัจจัยที่เพิ่มความเสี่ยงต่อปัญหาสุขภาพจิตตั้งแต่เกิดจนแก่ เช่นการมีสถาบันครอบครัวที่เข้มแข็งสำหรับเด็กเล็ก พ่อแม่มือใหม่ได้รับการเสริมทักษะและการเตรียมความพร้อมทางสภาพจิตใจสำหรับการเลี้ยงดูลูกการออกแบบระบบการศึกษาที่ไม่สร้างแรงกดดันเกินเหตุสำหรับนักเรียน (เช่น จำนวนชั่วโมงเรียนที่เหมาะสม ไม่มีอำนาจนิยมในโรงเรียน)สภาพแวดล้อมและรูปแบบความสัมพันธ์ในชีวิตการทำงานที่เหมาะสม (เช่น สภาพการทำงานที่ปลอดภัย การเงินที่มั่นคง เวลาพักผ่อนที่เพียงพอ)การเพิ่มพื้นที่สาธารณะที่คนสามารถแลกเปลี่ยน รับฟัง หรือผ่อนคลาย (เช่น กิจกรรมดนตรีในสวน การเพิ่มพื้นที่สีเขียว การมีพื้นที่ทำกิจกรรมร่วมกันสำหรับผู้สูงวัย)การพัฒนาระบบสวัสดิการสังคมที่ทั่วถึงและถ้วนหน้า เพื่อเป็นตาข่ายรองรับความไม่แน่นอนในชีวิตรูปแบบต่างๆการยอมรับความหลากหลายทางวัฒนธรรม และลดการเลือกปฏิบัติ ที่เสี่ยงจะเพิ่มความเครียดและความรู้สึกไม่เป็นธรรม	นโยบายที่ 232 สร้างสังคมที่เอื้อต่อการมีสุขภาพจิตที่ดี solution ลดปัจจัยที่เพิ่มความเสี่ยงต่อปัญหาสุขภาพจิตตั้งแต่เกิดจนแก่ เช่นการมีสถาบันครอบครัวที่เข้มแข็งสำหรับเด็กเล็ก พ่อแม่มือใหม่ได้รับการเสริมทักษะและการเตรียมความพร้อมทางสภาพจิตใจสำหรับการเลี้ยงดูลูกการออกแบบระบบการศึกษาที่ไม่สร้างแรงกดดันเกินเหตุสำหรับนักเรียน (เช่น จำนวนชั่วโมงเรียนที่เหมาะสม ไม่มีอำนาจนิยมในโรงเรียน)สภาพแวดล้อมและรูปแบบความสัมพันธ์ในชีวิตการทำงานที่เหมาะสม (เช่น สภาพการทำงานที่ปลอดภัย การเงินที่มั่นคง เวลาพักผ่อนที่เพียงพอ)การเพิ่มพื้นที่สาธารณะที่คนสามารถแลกเปลี่ยน รับฟัง หรือผ่อนคลาย (เช่น กิจกรรมดนตรีในสวน การเพิ่มพื้นที่สีเขียว การมีพื้นที่ทำกิจกรรมร่วมกันสำหรับผู้สูงวัย)การพัฒนาระบบสวัสดิการสังคมที่ทั่วถึงและถ้วนหน้า เพื่อเป็นตาข่ายรองรับความไม่แน่นอนในชีวิตรูปแบบต่างๆการยอมรับความหลากหลายทางวัฒนธรรม และลดการเลือกปฏิบัติ ที่เสี่ยงจะเพิ่มความเครียดและความรู้สึกไม่เป็นธรรม
233	สร้างแนวหน้าสุขภาพจิต ช่วยดูแล-บำบัด-ฟื้นฟูสุขภาพจิตของคนใกล้ตัว	ยกระดับให้คนทุกคนในสังคมมาร่วมเป็น “แนวหน้าสุขภาพจิต” ที่มาช่วยสร้างเสริม ดูแล บำบัด และฟื้นฟูสุขภาพจิตของคนใกล้ตัวตามระดับความเชี่ยวชาญของตน ตั้งแต่บุคลากรในครอบครัว (เช่น พ่อแม่ผู้ปกครองที่ดูแลลูก คู่สมรส ลูกหลานที่ช่วยดูแลผู้สูงอายุ)บุคลากรในโรงเรียน (เช่น นักจิตวิทยาประจำกลุ่มโรงเรียนที่ให้คำปรึกษา คุณครูที่ได้รับการเพิ่มทักษะในการดูแลสุขภาพจิตของผู้เรียน เพื่อนนักเรียนที่ช่วยดูแลกันและกัน)บุคลากรในสถานประกอบการ (เช่น เพื่อนร่วมงาน หัวหน้างาน หรือ ฝ่ายทรัพยากรบุคคล)อบรมประชาชนทุกกลุ่มด้วยทักษะขั้นพื้นฐานด้านสุขภาพจิต เช่นความรู้ความเข้าใจที่ถูกต้องเกี่ยวกับปัญหาสุขภาพจิตการเสริมทักษะการรับฟัง การสร้างกำลังใจ และการให้คำปรึกษาการพัฒนาและปรับปรุงเครื่องมือประเมินความเสี่ยงพื้นฐาน ที่ทุกคนเข้าถึงและนำไปใช้งานต่อได้ (เช่น แบบทดสอบ 9 ข้อ สำหรับคัดกรองอาการซึมเศร้า)  	นโยบายที่ 233 สร้างแนวหน้าสุขภาพจิต ช่วยดูแล-บำบัด-ฟื้นฟูสุขภาพจิตของคนใกล้ตัว solution ยกระดับให้คนทุกคนในสังคมมาร่วมเป็น “แนวหน้าสุขภาพจิต” ที่มาช่วยสร้างเสริม ดูแล บำบัด และฟื้นฟูสุขภาพจิตของคนใกล้ตัวตามระดับความเชี่ยวชาญของตน ตั้งแต่บุคลากรในครอบครัว (เช่น พ่อแม่ผู้ปกครองที่ดูแลลูก คู่สมรส ลูกหลานที่ช่วยดูแลผู้สูงอายุ)บุคลากรในโรงเรียน (เช่น นักจิตวิทยาประจำกลุ่มโรงเรียนที่ให้คำปรึกษา คุณครูที่ได้รับการเพิ่มทักษะในการดูแลสุขภาพจิตของผู้เรียน เพื่อนนักเรียนที่ช่วยดูแลกันและกัน)บุคลากรในสถานประกอบการ (เช่น เพื่อนร่วมงาน หัวหน้างาน หรือ ฝ่ายทรัพยากรบุคคล)อบรมประชาชนทุกกลุ่มด้วยทักษะขั้นพื้นฐานด้านสุขภาพจิต เช่นความรู้ความเข้าใจที่ถูกต้องเกี่ยวกับปัญหาสุขภาพจิตการเสริมทักษะการรับฟัง การสร้างกำลังใจ และการให้คำปรึกษาการพัฒนาและปรับปรุงเครื่องมือประเมินความเสี่ยงพื้นฐาน ที่ทุกคนเข้าถึงและนำไปใช้งานต่อได้ (เช่น แบบทดสอบ 9 ข้อ สำหรับคัดกรองอาการซึมเศร้า)  
234	ยกระดับ รพ. สต. และศูนย์สาธารณสุขชุมชน Primary Care Unit (PCU)	ยกระดับบทบาทของสถานบริการสาธารณสุขแบบปฐมภูมิให้เน้น(ก) การสร้างเสริมสุขภาพ(ข) การติดตามโรคเรื้อรัง(ค) การช่วยเหลือผู้ป่วยเร่งด่วน(ง) การลดภาระในโรงพยาบาลใหญ่เวียนแพทย์จากโรงพยาบาลอำเภอ มาปฏิบัติงานใน รพ.สต. ตามรอบที่กำหนดหรือติดตั้งระบบ Telemedicine ในกรณีที่แพทย์ไม่เพียงพอ	นโยบายที่ 234 ยกระดับ รพ. สต. และศูนย์สาธารณสุขชุมชน Primary Care Unit (PCU) solution ยกระดับบทบาทของสถานบริการสาธารณสุขแบบปฐมภูมิให้เน้น(ก) การสร้างเสริมสุขภาพ(ข) การติดตามโรคเรื้อรัง(ค) การช่วยเหลือผู้ป่วยเร่งด่วน(ง) การลดภาระในโรงพยาบาลใหญ่เวียนแพทย์จากโรงพยาบาลอำเภอ มาปฏิบัติงานใน รพ.สต. ตามรอบที่กำหนดหรือติดตั้งระบบ Telemedicine ในกรณีที่แพทย์ไม่เพียงพอ
235	ปลดล็อกระบบการแพทย์ออนไลน์ Telemedicine	พัฒนาระบบ Telemedicine สำหรับการพบแพทย์ ตามนัดหมายหรือในกรณีฉุกเฉินแก้ประกาศแพทยสภา เรื่อง มาตรฐานการตรวจรักษา เพื่อให้สามารถทำ telemed โดยไม่ต้องตรวจร่างกายได้	นโยบายที่ 235 ปลดล็อกระบบการแพทย์ออนไลน์ Telemedicine solution พัฒนาระบบ Telemedicine สำหรับการพบแพทย์ ตามนัดหมายหรือในกรณีฉุกเฉินแก้ประกาศแพทยสภา เรื่อง มาตรฐานการตรวจรักษา เพื่อให้สามารถทำ telemed โดยไม่ต้องตรวจร่างกายได้
236	ยุติการตั้งครรภ์ไม่เกิน 12 สัปดาห์ รับยาฟรี ทุก รพ.สต.	คุ้มครองสิทธิในการยุติการตั้งครรภ์ สำหรับบุคคลที่มีอายุครรภ์ไม่เกิน 12 สัปดาห์ ให้สามารถรับยายุติการตั้งครรภ์ได้ที่ รพ.สต. ทุกแห่งทั่วประเทศโดยขั้นตอนของการขอรับยาคือ ให้ผู้หญิงซึ่งมีอายุครรภ์ไม่เกิน 12 สัปดาห์ และต้องการยุติการตั้งครรภ์ สามารถเข้ามาพบแพทย์ที่ รพ.สต. ใกล้บ้าน (ทั้งในรูปแบบ Telemedicine และพบแพทย์โดยตรง) เพื่อทำการซักประวัติและตรวจร่างกาย เพื่อจ่ายยายุติการตั้งครรภ์ต่อไปมีการให้คำปรึกษาหลังจากการยุติการตั้งครรภ์ฟรี เพื่อตรวจสอบและฟื้นฟูสภาพจิตใจของผู้หญิงที่เข้ารับการยุติการตั้งครรภ์	นโยบายที่ 236 ยุติการตั้งครรภ์ไม่เกิน 12 สัปดาห์ รับยาฟรี ทุก รพ.สต. solution คุ้มครองสิทธิในการยุติการตั้งครรภ์ สำหรับบุคคลที่มีอายุครรภ์ไม่เกิน 12 สัปดาห์ ให้สามารถรับยายุติการตั้งครรภ์ได้ที่ รพ.สต. ทุกแห่งทั่วประเทศโดยขั้นตอนของการขอรับยาคือ ให้ผู้หญิงซึ่งมีอายุครรภ์ไม่เกิน 12 สัปดาห์ และต้องการยุติการตั้งครรภ์ สามารถเข้ามาพบแพทย์ที่ รพ.สต. ใกล้บ้าน (ทั้งในรูปแบบ Telemedicine และพบแพทย์โดยตรง) เพื่อทำการซักประวัติและตรวจร่างกาย เพื่อจ่ายยายุติการตั้งครรภ์ต่อไปมีการให้คำปรึกษาหลังจากการยุติการตั้งครรภ์ฟรี เพื่อตรวจสอบและฟื้นฟูสภาพจิตใจของผู้หญิงที่เข้ารับการยุติการตั้งครรภ์
